,ms_subclass,ms_zoning,street,alley,land_contour,utilities,lot_config,neighborhood,condition_1,bldg_type,house_style,overall_qual,exter_qual,foundation,bsmt_cond,heating_qc,central_air,bsmt_full_bath,bsmt_half_bath,full_bath,half_bath,bedroom_abvgr,kitchen_abvgr,totrms_abvgrd,functional,fireplaces,garage_type,garage_cars,garage_qual,paved_drive,enclosed_porch,pool_area,mo_sold,yr_sold,saleprice
46,70,0,0,0,1,0,1,20,0,0,1,8,0,1,4,1,0,0,0,1,1,4,1,11,0,2,2,2,2,1,207,0,6,2008,257076
47,50,0,0,1,0,0,1,18,0,0,3,5,0,0,2,3,0,0,0,2,0,3,1,8,2,0,2,2,1,1,0,0,7,2009,117000
48,70,0,0,0,1,0,1,20,0,0,1,7,0,3,2,1,0,0,0,1,1,3,1,8,0,1,1,1,1,1,112,0,2,2008,149000
49,20,0,0,0,0,0,1,0,0,0,0,5,0,0,2,1,0,1,0,1,0,3,1,7,0,0,1,1,1,1,164,0,2,2010,128000
50,160,0,0,0,0,0,1,7,0,2,1,7,1,1,2,3,0,0,0,2,1,2,1,9,0,0,3,2,1,1,0,0,10,2008,155000
51,160,1,0,0,0,0,1,4,0,1,1,6,1,1,2,3,0,0,0,2,1,2,1,7,0,0,2,2,1,1,0,0,6,2006,166000
52,50,0,0,0,0,0,1,17,0,0,3,4,0,3,2,1,0,1,0,2,0,4,1,9,2,2,2,2,1,1,0,0,12,2009,135000
53,60,0,0,0,0,0,1,3,7,0,1,7,0,0,2,1,0,1,0,3,1,5,1,16,0,2,1,2,1,1,0,519,7,2006,250000
54,160,3,0,0,0,0,1,10,0,2,1,4,0,0,2,3,0,0,0,1,1,3,1,7,0,0,0,0,0,1,0,0,3,2010,76000
55,20,0,0,0,0,0,0,0,0,0,0,6,0,0,2,1,0,0,0,1,1,2,1,7,0,1,1,2,1,1,0,0,6,2006,155000
56,60,0,0,0,0,0,0,11,0,0,1,6,0,0,2,1,0,0,0,1,1,4,1,9,0,0,1,1,1,1,0,0,3,2010,158000
57,160,1,0,1,0,0,1,4,0,2,1,7,1,1,2,3,0,1,0,2,1,2,1,7,0,0,2,2,1,1,0,0,2,2010,149500
58,20,0,0,0,0,0,1,0,0,0,0,5,0,0,2,1,0,0,0,1,0,2,1,6,0,0,1,1,1,1,160,0,3,2006,121000
59,20,0,0,0,0,0,1,0,0,0,0,6,0,0,2,1,0,0,1,1,0,3,1,7,0,0,1,1,1,1,0,0,6,2007,136000
60,60,0,0,0,0,0,0,1,0,0,1,6,0,1,2,2,0,0,0,2,1,3,1,10,0,1,1,2,1,1,0,0,11,2008,173000
61,60,0,0,0,0,0,2,9,0,0,1,8,1,1,2,3,0,0,0,2,1,4,1,12,0,1,1,3,1,1,0,0,4,2010,290000
62,60,1,0,0,0,0,1,4,0,0,1,8,1,1,2,3,0,0,0,2,1,4,1,14,0,1,3,2,1,1,0,0,8,2007,303477
63,20,0,0,0,3,0,1,16,0,0,0,7,1,0,2,2,0,1,0,1,1,1,1,6,0,2,1,2,1,1,0,0,4,2010,270000
64,50,3,0,0,0,0,0,14,4,0,3,5,3,3,2,2,1,0,0,1,0,2,1,7,0,1,2,1,2,0,236,0,6,2008,122250
65,20,0,0,0,0,0,1,0,0,0,0,5,0,0,2,2,0,0,1,1,0,3,1,7,0,0,1,1,1,1,0,0,7,2009,153000
66,20,0,0,0,0,0,1,22,3,0,0,5,0,1,2,3,0,0,0,1,0,3,1,7,0,0,0,0,0,1,0,0,12,2007,147000
67,70,0,0,0,0,0,1,20,0,0,1,7,0,3,2,1,0,1,0,1,0,2,1,6,0,1,2,1,1,1,0,0,6,2007,148500
68,160,3,0,0,0,0,1,18,0,1,1,7,1,1,2,3,0,0,0,2,0,3,1,9,3,0,2,2,1,1,0,0,4,2006,130000
69,20,0,0,0,1,0,0,7,0,0,0,9,2,1,2,3,0,0,0,2,1,3,1,10,0,1,1,3,1,1,0,0,6,2007,372000
70,120,0,0,0,0,0,1,8,0,1,0,7,1,1,2,3,0,0,0,2,0,2,1,8,0,1,1,2,1,1,0,0,4,2006,213490
71,20,0,0,0,0,0,1,18,0,0,0,7,1,1,2,3,0,1,0,1,0,1,1,6,0,2,1,2,1,1,0,0,1,2010,308030
72,20,0,0,0,0,0,1,22,0,0,0,7,1,1,2,3,0,1,0,3,0,3,1,10,0,0,1,3,1,1,192,0,9,2008,300000
73,20,0,0,0,0,0,0,0,0,0,0,6,0,0,2,3,0,0,1,1,0,3,1,7,0,1,3,2,1,1,192,0,7,2006,159500
74,160,3,0,0,0,0,1,18,0,2,1,7,1,1,2,3,0,0,0,2,0,3,1,9,3,0,2,2,1,1,0,0,4,2006,137500
75,20,0,0,0,0,0,1,4,0,0,0,7,1,1,2,3,0,0,0,2,0,3,1,9,0,0,1,3,1,1,0,0,4,2006,232000
76,30,3,1,0,0,0,1,15,2,0,0,6,1,3,2,1,0,0,0,1,0,1,1,5,0,0,2,2,1,0,84,0,7,2008,93850
77,30,0,0,0,0,0,1,11,0,0,0,5,0,3,2,0,1,0,0,1,0,2,1,6,1,1,2,1,2,0,116,0,4,2006,105000
78,30,3,0,0,0,0,1,13,3,0,0,4,0,3,2,0,1,0,0,1,0,1,1,5,0,0,2,1,2,1,87,0,5,2008,68500
79,90,0,0,0,0,0,0,0,3,3,1,5,0,0,2,1,0,0,0,2,0,5,2,14,0,0,2,2,1,1,0,0,1,2010,154300
80,50,3,0,0,0,0,1,15,4,0,3,5,1,3,3,3,0,0,0,2,0,3,1,8,0,0,0,0,0,0,176,0,9,2007,129850
81,70,3,0,1,0,0,1,14,0,0,1,5,0,3,2,3,0,0,0,1,0,3,1,7,0,0,2,2,2,1,143,0,6,2007,114000
82,20,0,0,0,0,0,2,2,0,0,0,9,2,1,2,3,0,1,0,2,0,1,1,11,0,1,1,3,1,1,0,0,7,2009,501837
83,50,3,0,1,0,0,1,14,4,0,3,5,0,3,2,2,0,0,0,1,1,4,1,9,0,1,2,3,1,1,194,0,6,2008,153900
84,20,0,0,0,0,0,3,0,0,0,0,4,0,0,2,2,0,0,0,1,0,3,1,6,0,0,2,2,1,1,0,0,7,2009,130000
85,120,3,0,0,0,0,3,22,0,1,0,6,0,1,2,3,0,1,0,2,0,2,1,6,0,0,1,2,1,1,0,0,4,2008,160500
86,120,0,0,0,0,0,1,7,0,1,0,9,2,1,1,3,0,1,0,2,0,2,1,8,0,1,1,2,1,1,0,0,6,2006,310090
87,20,0,0,0,0,0,1,10,0,0,0,7,1,1,2,3,0,1,0,2,0,2,1,7,0,0,1,2,1,1,0,0,8,2009,184900
88,20,0,0,0,0,0,1,0,0,0,0,5,0,0,2,1,0,0,0,1,0,2,1,5,0,0,1,1,1,1,156,0,6,2007,132000
89,20,0,0,0,0,0,1,3,3,0,0,5,0,0,2,1,0,0,1,2,0,3,1,8,0,1,1,2,1,1,0,0,8,2009,163000
90,160,1,0,1,0,0,1,4,0,1,1,7,1,1,2,3,0,0,0,2,1,2,1,7,0,0,2,2,1,1,0,0,4,2010,155000
91,80,0,0,0,0,0,1,3,0,0,2,6,0,0,2,2,0,0,1,2,0,4,1,9,0,0,1,2,1,1,0,0,5,2008,183000
92,60,0,0,0,0,0,0,19,0,0,1,7,1,1,2,3,0,1,0,2,1,3,1,10,2,2,1,2,1,1,0,0,6,2007,211000
93,60,0,0,0,0,0,1,10,1,0,1,7,1,1,2,3,0,1,0,2,1,3,1,9,0,0,1,2,1,1,0,0,10,2009,184000
94,90,0,0,0,2,0,1,10,0,3,0,5,0,2,0,1,0,0,0,2,0,4,2,10,0,0,1,2,1,1,0,0,6,2009,118858
95,80,0,0,0,0,0,0,0,0,0,2,5,0,1,2,1,0,1,0,1,0,3,1,7,0,1,1,2,1,1,0,0,4,2010,180500
96,120,1,0,1,0,0,1,4,0,1,0,8,1,1,2,3,0,1,0,2,0,2,1,7,0,0,1,2,1,1,0,0,2,2007,166000
97,80,0,0,0,0,0,1,11,0,0,2,6,0,0,2,3,0,0,1,1,0,3,1,7,0,1,1,2,1,1,0,0,3,2009,148000
98,20,0,0,0,0,0,1,0,0,0,0,5,0,0,2,2,0,0,0,1,0,2,1,7,4,1,2,2,1,1,0,0,1,2007,124000
99,120,0,0,0,0,0,1,7,0,1,0,9,2,1,2,3,0,1,0,2,0,2,1,8,0,1,1,2,1,1,0,0,8,2007,277500
100,60,0,0,0,0,0,1,9,0,0,1,8,1,1,2,3,0,0,0,2,1,4,1,12,0,1,1,3,1,1,168,0,6,2006,350000
101,20,0,0,0,1,0,2,2,0,0,0,9,2,1,2,3,0,1,0,2,0,2,1,9,0,1,1,3,1,1,0,0,9,2008,387000
102,30,0,0,0,0,0,1,18,0,0,0,4,0,3,2,3,0,1,0,1,0,2,1,6,0,0,0,0,0,0,144,0,7,2007,86000
103,20,0,0,0,0,0,1,24,0,0,0,8,2,0,5,3,0,1,0,3,0,3,1,9,0,1,1,2,1,1,0,0,5,2008,290000
104,30,4,0,0,0,0,0,15,0,0,0,3,0,0,2,1,1,0,0,1,0,2,1,6,0,0,0,0,0,0,94,0,9,2009,44000
105,60,0,0,0,0,0,2,22,0,0,1,6,0,1,2,3,0,1,0,2,1,3,1,10,0,1,3,2,1,1,0,0,6,2009,215000
106,190,0,0,0,0,0,0,3,7,4,0,5,0,0,2,3,0,1,0,2,0,2,1,8,0,0,1,2,1,1,0,0,7,2006,146500
107,160,1,0,0,0,0,3,4,0,2,1,7,1,1,2,3,0,1,0,2,1,3,1,9,0,0,2,2,1,1,0,0,4,2006,165000
108,50,3,0,1,0,0,1,14,4,0,3,6,0,3,2,1,1,0,0,2,0,5,1,12,0,1,2,1,1,1,0,0,8,2007,136000
109,20,0,0,0,3,0,2,0,0,0,0,6,0,0,2,3,0,1,0,1,1,1,1,6,4,2,1,2,1,1,0,0,10,2006,252000
110,160,0,0,0,0,0,1,7,0,2,1,7,1,1,2,3,0,0,0,2,1,2,1,9,0,0,3,2,1,1,0,0,6,2010,175500
111,70,3,0,1,0,0,1,14,0,0,1,5,0,3,2,1,0,0,0,1,1,3,1,9,0,1,2,2,1,1,0,0,10,2009,150000
112,20,0,0,0,0,0,1,0,0,0,0,5,0,0,2,1,0,0,0,1,0,3,1,7,4,1,1,1,1,1,36,0,8,2007,139900
113,50,3,0,0,0,0,1,13,0,0,3,5,0,1,2,1,0,0,0,2,0,3,1,10,0,1,2,2,1,1,0,0,6,2008,162900
114,20,0,0,0,0,0,0,0,0,0,0,6,0,0,2,1,0,0,0,1,1,3,1,7,0,0,1,2,1,1,0,0,2,2010,160000
115,20,0,0,0,0,0,0,11,0,0,0,2,0,2,0,0,1,0,0,1,0,2,1,6,2,0,0,0,0,0,100,0,6,2009,63900
116,20,0,0,0,0,0,1,3,0,0,0,6,0,1,2,2,0,0,0,2,0,3,1,9,0,1,1,2,1,1,0,0,5,2009,184000
117,20,0,0,0,0,0,1,18,0,0,0,5,0,0,2,1,0,0,0,1,1,3,1,8,0,2,1,2,1,1,0,0,11,2006,149900
118,120,1,0,0,0,0,1,4,0,1,0,9,1,1,2,3,0,1,0,2,0,2,1,7,0,1,1,2,1,1,0,0,7,2008,300000
119,190,0,0,0,0,0,0,16,0,0,0,5,0,0,2,2,0,1,0,2,0,3,1,9,1,2,5,2,1,1,0,0,12,2008,145000
120,60,0,0,0,0,0,1,19,0,0,1,6,0,1,2,3,0,1,0,2,1,3,1,10,0,0,1,2,1,1,0,0,8,2009,231500
121,30,0,0,0,0,0,1,18,0,0,0,5,0,0,2,3,0,1,0,1,0,3,1,7,0,1,0,0,0,1,0,0,7,2008,108000
122,20,0,0,0,0,0,1,0,0,0,0,5,0,0,2,1,0,0,1,1,0,3,1,7,0,0,1,1,1,1,120,0,11,2009,120000
123,20,0,0,0,0,0,1,11,0,0,0,5,0,0,2,1,0,1,0,1,0,3,1,6,0,0,2,2,1,1,0,0,10,2007,128500
124,30,3,0,1,0,0,1,14,4,0,0,5,0,0,2,2,0,0,0,1,0,2,1,6,0,1,2,2,1,1,130,0,3,2010,115000
125,50,3,0,1,0,0,1,14,0,0,3,5,0,0,2,1,0,0,0,1,1,2,1,7,0,0,2,1,1,1,0,0,4,2009,110000
126,60,0,0,0,0,0,2,24,0,0,1,9,1,0,2,1,0,0,0,2,2,3,1,13,0,1,1,3,1,1,16,0,6,2008,150000
127,60,0,0,0,0,0,1,1,0,0,1,8,1,1,1,3,0,0,0,2,1,3,1,9,0,1,1,2,1,1,0,0,10,2006,178000
128,70,0,0,0,1,0,1,20,0,0,1,7,0,3,2,3,0,0,0,1,1,3,1,10,0,2,6,3,1,1,0,0,5,2006,199500
129,60,0,0,0,0,0,1,1,0,0,1,6,0,1,2,3,0,1,0,2,1,3,1,9,0,1,1,2,1,1,0,0,5,2006,183500
130,80,3,0,0,0,0,1,15,0,0,2,5,3,0,2,3,0,0,0,1,1,3,1,9,1,1,1,1,1,1,0,0,7,2008,126000
131,120,0,0,0,0,0,1,6,0,2,0,7,0,0,2,0,0,0,0,2,0,2,1,6,0,0,1,2,1,1,0,0,9,2008,148500
132,60,0,0,0,0,0,1,14,0,0,1,5,0,3,2,3,0,0,1,2,0,4,1,9,0,0,2,2,1,1,128,0,8,2009,149000
133,160,0,0,0,0,0,1,6,0,2,1,6,0,0,2,1,0,0,0,2,1,3,1,9,0,1,1,2,1,1,0,0,5,2009,137900
134,120,0,0,0,0,0,2,24,0,1,0,8,1,1,2,3,0,2,0,1,1,1,1,8,0,2,1,2,1,1,0,0,5,2008,324000
135,30,0,0,0,0,0,1,18,0,0,0,5,0,0,2,1,1,1,0,1,0,2,1,6,0,0,0,0,0,1,96,0,4,2008,98000
136,160,3,0,0,0,0,1,5,0,2,1,6,0,0,2,1,0,0,1,1,1,2,1,7,0,0,2,1,1,1,0,0,2,2008,103400
137,50,0,0,0,0,0,1,11,3,0,3,5,0,0,2,2,1,0,0,1,0,2,1,7,0,0,0,0,0,0,176,0,5,2010,94000
138,120,0,0,0,0,0,1,7,0,2,0,8,1,1,1,3,0,0,0,2,0,2,1,8,0,1,1,2,1,1,0,0,8,2007,209500
139,60,0,0,0,1,0,2,2,0,0,1,10,2,1,2,3,0,0,0,3,1,5,1,14,0,1,3,3,1,1,0,0,9,2006,545224
140,70,3,0,1,0,0,1,14,0,0,1,6,1,1,2,3,0,0,0,1,1,3,1,9,0,0,0,0,0,0,0,0,5,2010,159900
141,20,0,0,0,0,0,0,1,0,0,0,4,0,0,2,3,0,0,0,1,0,2,1,5,0,0,2,2,1,1,0,0,6,2010,141000
142,60,0,0,0,0,0,1,1,0,0,1,6,0,1,2,3,0,0,0,2,1,3,1,12,0,1,1,2,1,1,0,0,4,2006,215000
143,20,0,0,0,0,0,0,11,0,0,0,5,0,0,2,3,0,1,0,1,1,3,1,8,0,0,2,1,1,1,0,0,4,2010,127000
144,20,0,0,0,0,0,1,18,0,0,0,5,0,0,2,1,0,1,0,1,0,3,1,6,0,0,1,1,1,1,0,0,6,2010,128000
145,20,1,0,1,0,0,1,4,0,0,0,8,1,1,3,3,0,1,0,1,1,1,1,8,0,1,1,3,1,1,224,0,4,2010,267916
146,50,3,0,0,0,0,1,13,0,0,3,6,0,3,4,1,0,0,0,1,0,3,1,7,0,1,2,1,1,1,0,0,11,2007,127500
147,85,0,0,0,0,0,0,18,0,0,4,7,1,2,0,3,0,0,0,3,0,4,1,10,0,1,3,2,1,1,177,0,7,2009,198500
148,20,0,0,0,0,0,1,3,0,0,0,6,0,0,2,1,0,0,0,2,0,3,1,9,0,1,1,2,1,1,0,0,6,2008,175500
149,60,0,0,0,0,0,1,19,0,0,1,7,1,1,2,3,0,1,0,2,1,3,1,10,0,1,1,2,1,1,0,0,7,2007,217500
150,50,3,0,1,0,0,1,14,0,0,3,4,0,0,2,3,0,0,0,1,1,4,1,11,0,1,2,2,1,1,364,0,6,2010,149500
151,20,0,0,0,0,0,1,0,0,0,0,5,1,1,2,3,0,0,1,1,0,3,1,6,0,1,1,2,1,1,0,0,7,2009,148800
152,60,0,0,0,0,0,1,2,0,0,1,9,1,1,2,3,0,0,0,3,1,4,1,15,0,1,3,3,1,1,0,0,7,2006,556581
153,20,0,0,0,0,0,1,0,0,0,0,6,0,0,2,2,0,1,0,1,1,3,1,8,0,2,1,2,1,1,0,0,6,2009,156500
154,60,0,0,0,0,0,0,19,0,0,1,7,1,1,1,3,0,1,0,2,1,4,1,11,0,1,1,2,1,1,0,0,7,2006,237000
155,20,0,0,0,0,0,1,0,0,0,0,5,0,0,2,0,0,0,1,1,0,2,1,6,0,0,1,1,1,1,0,0,6,2007,120000
156,20,0,0,0,0,0,0,1,0,0,0,6,0,1,2,3,0,1,0,2,0,3,1,8,0,0,1,2,1,1,0,0,6,2007,203000
157,120,0,0,0,0,0,1,2,0,1,0,8,0,0,2,1,0,0,0,2,0,2,1,7,0,0,1,2,1,1,0,0,8,2006,130000
158,60,0,0,0,0,0,1,0,0,0,1,6,0,0,2,1,0,1,0,1,1,4,1,9,0,0,1,2,1,1,0,0,6,2008,167900
159,190,0,0,0,0,0,1,13,7,4,0,4,0,0,2,1,1,1,0,1,0,3,1,7,0,0,2,2,1,1,0,0,5,2006,129000
160,20,0,0,0,0,0,1,0,0,0,0,5,0,0,2,1,0,0,1,1,0,2,1,7,4,1,1,1,1,1,0,0,5,2006,134450
161,30,0,0,0,0,0,1,11,0,0,0,5,0,3,2,3,0,0,0,2,0,3,1,9,0,0,1,2,1,0,112,0,8,2007,112000
162,60,0,0,0,0,0,1,10,0,0,1,7,1,1,2,3,0,1,0,2,1,3,1,10,0,1,1,2,1,1,0,0,5,2007,207000
163,90,3,0,1,2,0,1,14,0,3,1,5,0,3,4,1,1,0,0,2,0,4,2,13,5,0,0,0,0,1,0,0,9,2009,62500
164,160,0,0,0,0,0,1,7,0,2,1,7,1,1,2,3,0,1,0,2,1,2,1,9,0,0,3,2,1,1,0,0,10,2008,154000
165,20,0,0,0,0,0,0,0,0,0,0,5,0,0,2,1,0,1,0,1,0,2,1,6,0,0,2,1,1,1,0,0,7,2006,129900
166,160,3,0,0,0,0,1,10,0,1,1,5,0,0,2,1,0,0,0,1,1,3,1,6,0,0,1,1,1,1,0,0,4,2010,85000
167,50,3,0,0,0,0,1,14,0,0,3,7,0,1,2,1,0,0,0,1,0,2,1,6,0,1,2,1,1,1,176,0,8,2008,116900
168,160,0,0,0,0,0,1,6,0,2,1,6,0,0,2,1,0,0,0,2,1,3,1,10,0,1,1,2,1,1,0,0,4,2009,148500
169,190,0,0,0,0,0,1,18,0,4,3,4,0,3,2,0,1,1,0,1,0,2,1,6,0,0,2,1,1,1,0,0,7,2010,80000
170,85,0,0,0,0,0,2,11,0,0,4,5,0,1,2,1,0,1,0,1,0,2,1,6,0,0,1,2,1,1,0,0,3,2008,152000
171,20,0,0,0,0,0,0,18,0,0,0,5,0,0,2,3,0,0,0,1,0,3,1,7,0,0,2,1,1,1,56,0,1,2010,155891
172,50,0,0,1,2,0,1,13,0,0,3,6,0,1,2,3,0,0,0,1,0,3,1,8,0,0,2,2,1,1,144,0,2,2007,165000
173,20,1,0,0,0,0,1,4,0,0,0,7,1,1,2,3,0,0,0,2,0,2,1,6,0,0,1,2,1,1,0,0,4,2010,204500
174,70,0,0,0,0,0,1,0,4,0,1,5,0,0,2,3,0,0,0,1,1,3,1,9,0,2,1,1,1,1,0,0,6,2007,146500
175,20,0,0,0,0,0,1,3,7,0,0,7,0,0,2,1,0,0,0,2,0,3,1,9,0,1,1,2,1,1,0,0,4,2009,157000
176,70,3,0,0,0,0,1,14,0,0,1,7,0,3,2,2,0,0,0,2,0,5,1,12,0,1,2,2,1,1,0,0,12,2008,184000
177,60,0,0,0,0,0,1,1,0,0,1,6,1,1,2,3,0,1,0,2,1,3,1,10,0,1,1,2,1,1,0,0,6,2006,183200
178,20,0,0,0,0,0,1,11,0,0,0,5,0,0,2,1,0,0,1,1,0,3,1,7,0,1,1,1,1,1,144,0,9,2009,139000
179,60,0,0,0,0,0,1,9,0,0,1,7,1,1,2,3,0,1,0,2,1,3,1,12,0,1,1,3,1,1,216,0,8,2008,341000
180,160,3,0,0,0,0,1,5,0,2,1,6,0,0,2,1,0,0,0,1,1,2,1,7,0,0,2,1,1,1,0,0,2,2010,96000
181,20,3,0,0,0,0,0,18,0,0,0,4,0,1,2,3,0,0,0,2,0,2,1,7,0,0,1,2,1,1,0,0,3,2010,140000
182,20,3,0,0,0,0,1,14,4,0,0,6,0,0,2,1,0,1,0,1,0,2,1,7,0,0,1,2,1,1,158,0,4,2010,149700
183,20,0,0,0,0,0,1,3,0,0,0,5,0,0,2,3,0,1,0,1,1,3,1,8,0,0,1,2,1,1,0,0,7,2006,153500
